driver_id,name,team,manufacturer,car_number,speed,consistency,aggression,qualifying,pit_crew,tire_saving
D01,Courtney Adams,Circuit Electric Racing,Union Motors,16,75,75,75,75,75,75
D02,Javier Alvarado,Connect Race Team,Union Motors,25,75,75,75,75,75,75
D03,Kelly Beck,Eagle Motorsports,Union Motors,2,75,75,75,75,75,75
D04,Lee Bowen,Chicane Motorsports,Union Motors,8,75,75,75,75,75,75
D05,Tom Bowyer,Jennings Motor Racing,Union Motors,7,75,75,75,75,75,75
D06,Leo Briggs,Sabertooth Racing,Union Motors,12,75,75,75,75,75,75
D07,Andy Carrow,Tyler-Sena Racing,Union Motors,30,75,75,75,75,75,75
D08,Jess Carter,Foundations Racing,Union Motors,6,75,75,75,75,75,75
D09,William Cook,Rockville Racing,Union Motors,98,75,75,75,75,75,75
D10,Katie Cross,Speedway Motorsports,Union Motors,21,75,75,75,75,75,75
D11,Paul Elliot,Blue Teflon Racing,Union Motors,37,75,75,75,75,75,75
D12,Hank Ellis,Bill France Racing,Union Motors,95,75,75,75,75,75,75
D13,Joshua Fox,Foundations Racing,Union Motors,4,75,75,75,75,75,75
D14,Felix Francis,Fast Lane Racing,Union Motors,20,75,75,75,75,75,75
D15,Elena Fuller,Hagan Racing,Union Motors,18,75,75,75,75,75,75
D16,Jeannette Gill,Circuit Electric Racing,Union Motors,42,75,75,75,75,75,75
D17,Nora Greene,Ledet Racing Enterprises,Union Motors,24,75,75,75,75,75,75
D18,Lee Hamilton,Speedway Motorsports,Union Motors,5,75,75,75,75,75,75
D19,Del Harford,Sahara Racing,Union Motors,82,75,75,75,75,75,75
D20,Winston Henry,Barnett Autosport,Union Motors,11,75,75,75,75,75,75
D21,Erica Hogan,Rockville Racing,Union Motors,29,75,75,75,75,75,75
D22,Mason Jennings,Jennings Motor Racing,Union Motors,39,75,75,75,75,75,75
D23,Phil Ledet,Ledet Racing Enterprises,Union Motors,59,75,75,75,75,75,75
D24,Gary Marshall,Hagan Racing,Union Motors,19,75,75,75,75,75,75
D25,Victor Matthews,Total Motor Sports,Union Motors,44,75,75,75,75,75,75
D26,Michael Olsen,Sabertooth Racing,Union Motors,14,75,75,75,75,75,75
D27,Dave Rosenblatt,Rogers Autoracing,Union Motors,67,75,75,75,75,75,75
D28,Brad Roy,Barnett Autosport,Union Motors,10,75,75,75,75,75,75
D29,Carl Sena,Tyler-Sena Racing,Union Motors,15,75,75,75,75,75,75
D30,John Sherman,John Sherman,Union Motors,28,75,75,75,75,75,75
D31,Todd Tyler,Tyler-Sena Racing,Union Motors,1,75,75,75,75,75,75
D32,Johnny Walters,Walters Family Racing,Union Motors,45,75,75,75,75,75,75
D33,Rick Webb,Barnett Autosport,Union Motors,9,75,75,75,75,75,75
D34,Stanley Welch,Ledet Racing Enterprises,Union Motors,54,75,75,75,75,75,75
D35,Cesar West,Connect Race Team,Union Motors,26,75,75,75,75,75,75
D36,Austin Williams,Speedway Motorsports,Union Motors,17,75,75,75,75,75,75
